element;sp_num;obs_wl_air(A);unc_obs_wl;ritz_wl_air(A);unc_ritz_wl;intens;Aki(s^-1);Acc;Ei(cm-1);Ek(cm-1);conf_i;term_i;J_i;conf_k;term_k;J_k;Type;tp_ref;line_ref;
Ne;8;4001.9;3.0;4003;3;100bl;6.51e+07;A;[1816292];[1841265];1s2.8s;2S;1/2;1s2.9p;2P*;;;T7495;L9090;
Ne;2;4010.68;0.02;4010.693;0.013;10;;;294333.192;319259.49;2s2.2p4.(3P).4p;2P*;1/2;2s2.2p4.(3P).7s;2P;1/2;;;L11529;
Ne;1;4013.752;0.020;4013.753;0.019;10;;;148257.7898;173165.09;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).12d;2[3/2]*;2;;;L3469;
Ne;1;4013.995;0.020;4013.97;0.03;20;;;148257.7898;173163.72;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).12d;2[1/2]*;1;;;L3469;
Ne;1;4020.015;0.020;4020.043;0.015;20;;;148257.7898;173126.12;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).13s;2[3/2]*;2;;;L3469;
Ne;2;4022.42;0.02;4022.4275;0.0010;5;;;294086.4608;318940.046;2s2.2p4.(3P).4p;2P*;3/2;2s2.2p4.(3P).7s;4P;3/2;;;L11529c153;
Ne;2;4024.043;0.020;4024.0420;0.0003;80;;;283894.3965;308738.0108;2s2.2p4.(3P).4s;2P;1/2;2s2.2p4.(3P).5p;2P*;3/2;;;L1406;
Ne;1;4037.262;0.020;4037.261;0.020;50;;;148257.7898;173020.06;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).11d;2[3/2]*;2;;;L3469;
Ne;1;4037.615;0.020;4037.600;0.021;150;;;148257.7898;173017.98;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).11d;2[1/2]*;1;;;L3469;
Ne;1;4037.696;0.020;4037.697;0.020;50;;;148257.7898;173017.39;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).11d;2[1/2]*;0;;;L3469;
Ne;1;4042.327;0.020;4042.333;0.011;100;;;148257.7898;172988.99;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).8d;2[3/2]*;1;;;L3469;
Ne;1;4042.642;0.020;4042.647;0.013;500;;;148257.7898;172987.07;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).8d;2[3/2]*;2;;;L3469;
Ne;1;4045.662;0.020;4045.684;0.013;20;;;148257.7898;172968.51;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).12s;2[3/2]*;2;;;L3469;
Ne;2;4054.43;0.02;4054.425;0.012;6;;;294333.192;318990.64;2s2.2p4.(3P).4p;2P*;1/2;2s2.2p4.(3P).7s;4P;1/2;;;L11529;
Ne;2;4062.9730;0.0010;4062.9730;0.0003;160;;;279218.6416;303824.2119;2s2.2p4.(3P).3d;4D;5/2;2s2.2p4.(3P<0>).4f;2[3]*;7/2;;;L5951;
Ne;1;4064.036;0.020;4064.023;0.008;500;;;148257.7898;172857.00;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;1;;;L3469;
Ne;1;4064.829;0.020;4064.828;0.010;150;;;148257.7898;172852.13;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<1/2>).9s;2[1/2]*;0;;;L3469;
Ne;3;4067.35;0.10;4067.336;0.010;70;1.1e+05;C;374489.507;399068.682;2s2.2p3.(2P*).3s;3P*;1;2s2.2p3.(2D*).3p;3P;1;;c52;L10704;
Ne;1;4068.835;0.020;4068.832;0.013;300;;;148257.7898;172827.93;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).10d;2[3/2]*;2;;;L3469;
Ne;1;4069.243;0.020;4069.228;0.022;300;;;148257.7898;172825.54;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).10d;2[1/2]*;1;;;L3469;
Ne;1;4069.389;0.020;4069.388;0.020;50;;;148257.7898;172824.57;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).10d;2[1/2]*;0;;;L3469;
Ne;1;4079.359;0.020;4079.347;0.008;20;;;148257.7898;172764.60;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;1;;;L3469;
Ne;1;4080.148;0.020;4080.143;0.010;500;;;148257.7898;172759.82;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).11s;2[3/2]*;2;;;L3469;
Ne;2;4080.510;0.003;4080.5144;0.0005;140;;;279324.8733;303824.6705;2s2.2p4.(3P).3d;4D;3/2;2s2.2p4.(3P<0>).4f;2[3]*;5/2;;;L9088;
Ne;3;4084.42;0.10;4084.383;0.010;70;2.3e+05;C;374496.068;398972.658;2s2.2p3.(2P*).3s;3P*;2;2s2.2p3.(2D*).3p;3P;2;;c52;L10704;
Ne;2;4086.772;0.007;4086.7686;0.0007;80;;;279137.6053;303599.9098;2s2.2p4.(3P).3d;4D;7/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L9088;
Ne;8;4092.8;1.5;4092.0;1.5;20;;;9116487;9140918;1s.2s.(3S).8p;4P*;;1s.2s.(3S).9d;4D;;;;L9090;
Ne;2;4098.732;0.020;4098.7318;0.0003;12;;;279137.6053;303528.5122;2s2.2p4.(3P).3d;4D;7/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;;L1406;
Ne;2;4098.8645;0.0015;4098.8638;0.0005;160;;;279137.6053;303527.7267;2s2.2p4.(3P).3d;4D;7/2;2s2.2p4.(3P<1>).4f;2[4]*;9/2;;;L9088;
Ne;2;4100.353;0.003;4100.3522;0.0005;120;;;279218.6416;303599.9098;2s2.2p4.(3P).3d;4D;5/2;2s2.2p4.(3P<1>).4f;2[3]*;7/2;;;L1406;
Ne;2;4101.91;0.04;4101.9268;0.0005;12w;;;279137.6053;303509.514;2s2.2p4.(3P).3d;4D;7/2;2s2.2p4.(3P<1>).4f;2[2]*;5/2;;;L1406;
Ne;1;4111.882;0.020;4111.859;0.008;10;;;148257.7898;172570.83;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;1;;;L3469;
Ne;1;4112.100;0.020;4112.101;0.007;150;;;148257.7898;172569.40;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).9d;2[3/2]*;2;;;L3469;
Ne;2;4112.394;0.003;4112.3950;0.0003;100;;;279218.6416;303528.5122;2s2.2p4.(3P).3d;4D;5/2;2s2.2p4.(3P<1>).4f;2[4]*;7/2;;;L1406;
Ne;1;4112.694;0.020;4112.688;0.008;200;;;148257.7898;172565.93;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).9d;2[1/2]*;1;;;L3469;
Ne;1;4112.865;0.020;4112.865;0.020;100;;;148257.7898;172564.88;2s2.2p5.(2P*<3/2>).3p;2[1/2];1;2s2.2p5.(2P*<3/2>).9d;2[1/2]*;0;;;L3469;
Ne;2;4114.13;0.02;4114.094;0.003;16;;;294086.4608;318386.291;2s2.2p4.(3P).4p;2P*;3/2;2s2.2p4.(3P).7s;2P;3/2;;;L11529;
Ne;3;4116.94;0.10;4116.876;0.010;30;;;439573.05;463856.46;2s2.2p3.(2D*).3d;3P*;2;2s2.2p3.(4S*).5p;3P;2;;;L10704;
