# source: http://www.astrosurf.com/buil/us/spe2/hresol4.htm
# intensity measured in pixel from neon1-x.gif with ruler.app
# wavelength ; isotope ; intensity
3417.9035  ; Ne I ; 
3472.5711  ; Ne I ; 
3515.1900  ; Ne I ; 
3593.5263  ; Ne I ; 
3600.1691  ; Ne I ; 
4488.0926  ; Ne I ; 
4636.125   ; Ne I ; 
4837.3139  ; Ne I ; 
5005.1587  ; Ne I ; 
5031.3504  ; Ne I ; 
5104.7011  ; Ne I ; 
5113.6724  ; Ne I ; 
5144.9384  ; Ne I ; 
5188.6122  ; Ne I ; 
5330.7775  ; Ne I ; 
5341.0938  ; Ne I ; 
5360.0121  ; Ne I ; 
5400.5617  ; Ne I ; 
5562.7662  ; Ne I ; 
5656.5664  ; Ne I ; 
5689.8163  ; Ne I ; 
5719.2248  ; Ne I ; 
5748.2985  ; Ne I ; 
5764.4188  ; Ne I ; 
5804.4496  ; Ne I ; 
5820.1558  ; Ne I ; 
5852.4878  ; Ne I ;   1573
5881.895   ; Ne I ;   201
5944.8342  ; Ne I ;   377
5975.534   ; Ne I ;   111
6029.9971  ; Ne I ;   115
6074.3377  ; Ne I ;   298
6096.1631  ; Ne I ;   425
6128.4499  ; Ne I ;   22
6143.0626  ; Ne I ;   685
6163.5939  ; Ne I ;   240
6217.2812  ; Ne I ;   194
6266.495   ; Ne I ;   394
6304.789   ; Ne I ;   126
6334.4278  ; Ne I ;   297
6382.9917  ; Ne I ;   435
6402.246   ; Ne I ;   484
6506.5281  ; Ne I ;   271
6532.8822  ; Ne I ;   125
6598.9529  ; Ne I ;   119
6678.2764  ; Ne I ;   188
6717.043   ; Ne I ;   189
6929.4673  ; Ne I ;   163
7024.0504  ; Ne I ; 
7032.4131  ; Ne I ;   454
7173.9381  ; Ne I ;   20
7245.1666  ; Ne I ;   142
7438.899   ; Ne I ;   28
7488.8712  ; Ne I ; 
7535.7739  ; Ne I ; 
8136.4057  ; Ne I ;
8300.3263  ; Ne I ; 
8377.6065  ; Ne I ; 
8495.3598  ; Ne I ; 
8591.2583  ; Ne I ; 
8634.647   ; Ne I ; 
8654.3831  ; Ne I ; 
8655.522   ; Ne I ; 
8679.493   ; Ne I ; 
8681.921   ; Ne I ; 
8704.111   ; Ne I ; 
8771.656   ; Ne I ; 
8780.621   ; Ne I ; 
8783.75    ; Ne I ; 
8830.907   ; Ne I ; 
8853.867   ; Ne I ; 
8919.5007  ; Ne I ; 
9148.672   ; Ne I ; 
9201.759   ; Ne I ; 
9300.853   ; Ne I ; 
9326.507   ; Ne I ; 
9425.379   ; Ne I ; 
9486.68    ; Ne I ; 
9534.163   ; Ne I ; 
9665.424   ; Ne I ; 
10798.12   ; Ne I ; 
10844.54   ; Ne I ; 
11143.02   ; Ne I ;
